School Name,Address,Telephone,long,lat
Bell Academy,"1048 Cloverfield Lane, Cincinnati, OH 45224",(513) 673-1370,-84.5274206,39.2084451
Bellwood World Academy,"3102 Mapleleaf Avenue, Cincinnati, OH 45213",(513) 666-7622,-84.4303491,39.1747531
Belpre Christian Academy,"P.O. Box 151, Belpre, OH 45714",(740) 423-7741,-81.5729029,39.27396390000001
Berean Academy,"2127 Sumac Loop North, Columbus, OH 43229",(614) 794-2581,-82.960566,40.0809826
Bethel Baptist School,"434 Wilson Park Drive, West Carrollton, OH 45449",(937) 859-4713,-84.2577813,39.6561722
Bethel Christian School,"3499 State Route 103, Bluffton, OH 45817",(419) 701-4178,-83.8145258,40.8908364
Bible Believers Christian School,"3500 Spencerville Road, Lima, OH 45805",(419) 999-5517,-84.1691118,40.723314
Big Oak Academy,"16354 State Route 694, Ottawa, OH 45875",(419) 532-2733,-84.176019,41.028973
Blumfeldt Academy,"9385 Reed Road, North Ridgeville, OH 44039",(440) 748-4929,-81.990402,41.3548917
Bogart Academy,"12372 Fite-Hauck Road, Sardinia, OH 45171",(937) 446-3995,-83.7851396,38.9778016
Bolser Family Academy,"6500 Hunting Creek Drive, Liberty Township, OH 45044",(513) 805-2832,-84.4038265,39.3931693
Bremen Holiness School,"1300 Mt. Zwingli Road, Bremen, OH 43107",(614) 569-4770,-82.44383599999999,39.697911
Bridges Academy,"846 County Road 24, Ironton, OH 45368",(740) 237-2173,-82.6489139,38.5115473
Broadview Classical Academy,"4300 Meadow Gateway, Broadview Heights, OH 44147",(440) 526-8021,-81.656117,41.3275876
Brown County Christian Academy,"P.O. Box 48 116 College Ave, Sardinia, OH 45171",(937) 446-1220,-83.8110856,39.0089141
Building On the Rock Academy,"6736 County Road 10, Jenera, OH 45841",(419) 326-6184,-83.7522439,40.8191015
Bush World Changers Academy,"263 International Drive, Pataskala, OH 43062",(614) 361-7238,-82.66747910000001,40.0022203
"Calvary Academy, The","11970 Kenn Road, Cincinnati, OH 45240",(513) 674-9600,-84.50120849999999,39.2985863
Calvary Christian School,"1140 Rush Avenue, Bellefontaine, OH 43311",(937) 599-6847,-83.7518681,40.3749299
Candeo Christian Academy,"2058 Yankeetown Road, Hamersville, OH 45130",(937) 379-1482,-83.9745986,38.9316887
Carpe Diem Educational Services,"1909 Robert Ave, Fremont, OH 43420",(419) 332-2744,-83.12791519999999,41.3187877
Carroll County Christian Academy,"1211 Lincoln Avenue NW, Carrollton, OH 44615",(330) 627-5124,-81.0872364,40.5902913
Carson Academy of Excellence,"6380 Greenridge Avenue, New Carlisle, OH 45344",(937) 371-2660,-83.9207242,39.9501924
Cedarview Christian Academy,"18520 Main Street, Middleburg Heights, OH 44130",(440) 239-1530,-81.83150859999999,41.3512412
Chapel Hill Christian Academy,"7530 Johnstown Road, Mount Vernon, OH 43050",(740) 393-1613,-82.54872259999999,40.3486286
CHESS Christian School,"9302 Maxwell's Crossing, Centerville, OH 45458",(937) 343-1130,-84.15406589999999,39.5978465
Christ Academy,"549 Creek Road, Clarksville, OH 45113",(330) 204-6330,-83.9501555,39.4296778
Christ the King Academy,"4919 Old Springfield Road, Vandalia, OH 44460",(316) 200-1039,-84.1814065,39.9140463
Christ the King Catholic Academy,"6250 State Street, Louisville, OH 44641",(330) 875-4091,-81.2803558,40.9027969
Christian Academy,"PO Box 435, Marysville, OH 43040",(937) 644-0911,-83.3671432,40.2364486
Christian Academy of Excellence,"344 Trumbull Ave S.E., Warren, OH 44483",(330) 651-4393,-80.7816404,41.2338113
Christian Community School,"35716 Royalton Road, North Eaton, OH 44044",(440) 749-6224,-82.0144095,41.3147326
Christian Faith Academy,"4322 Park Avenue, Ashtabula, OH 44005",(440) 998-3887,-80.78253099999999,41.8681616
Christian Legacy Academy,"1398 Sullivan Rd, Sabina, OH 45169",(937) 486-5801,-83.73803099999999,39.54076
Christian Life Academy,"8877 Avon Belden Road, North Ridgeville, OH 44039",(440) 353-0758,-82.018362,41.36409750000001
Christian Life Church Academy,"425 North Spring Road, Westerville, OH 43082",(614) 794-1830,-82.90300309999999,40.1362905
Christifideles School,"745 Union Station Road, Granville, OH 43023",(614) 267-4072,-82.5227693,40.0210859
Christ's Church Academy,"1440 Ridge Rd NE, Lancaster, OH 43130",(740) 687-0254,-82.5711173,39.739982
Chros,"9001 State Route 43, Streetsboro, OH 44241",(330) 626-3446,-81.3461064,41.2358616
City on a Hill Academy,"1021 Thunderbird Ave, Cincinnati, OH 45231",(502) 889-9602,-84.5228461,39.2204803
"Classical Academy, The","18567 State Road, North Royalton, OH 44133",(440) 628-8023,-81.7229645,41.2857139
Community Christian Academy,"303 W. Fourth Street, Genoa, OH 43430",(419) 855-4187,-83.3621593,41.5149361
Community Montessori School,"9035 Cincinnati Dayton Road, West Chester, OH 45069",(513) 777-0808,-84.4106766,39.3268267
Conroy Academy,"5532 Corwin Rd, Waynesville, OH 45068",(513) 897-3128,-84.093262,39.5131325
Corinthian Christian School,"2174 N Hametown Rd, Bath, OH 44333",(330) 598-0602,-81.6739166,41.1971063
Cornerstone Christian School,"18363 Township Road 251, Findlay, OH 45840",(419) 721-1338,-83.5283491,41.0499478
Cornerstones,"14808 Shaker Boulevard, Shaker Heights, OH 44120",(216) 751-0935,-81.5783435,41.4820682
Country Day Christian School,"8250 Spencer Lake Road, Medina, OH 44256",(330) 667-2314,-81.9864403,41.1114273
Countryside Christian School,"6490 W. Lincoln Hwy, Elida, OH 45807",(419) 642-3233,-84.22949,40.850613
Covenant Christian Academy,"345 Charleton Court, Fairfield, OH 45011",(513) 942-1844,-84.49831370000001,39.363068
Covenant Christian Academy,"8371 New Delaware Road, Mount Vernon, OH 43050",(740) 392-1555,-82.5974568,40.3750175
Covenant Christian Academy,"185 Shady Avenue, Woodsfield, OH 43793",(740) 472-9151,-81.11238879999999,39.76347639999999
Covenant Christian School,"P.O. Box 473, Vandalia, OH 45377",(937) 264-8600,-84.21734029999999,39.8886463
Cozaddale Baptist Academy,"10632 Elzroth Rd, Goshen, OH 45122",(513) 722-2064,-84.15553039999999,39.271004
Crane Christian Academy,"5833 Sinclair Road, Columbus, OH 43229",(614) 338-9580,-82.9989331,40.084213
Crawford Clan Academy,"6201 Rockside Circle NW, Canton, OH 44718",(405) 740-0702,-81.47557069999999,40.87096529999999
Creekside Christian Academy,"2633 Lenox New Lyme Road, Jefferson, OH 44047",(440) 536-1566,-80.7625338,41.67906139999999
Crestview Classical Academy,"6985 Crestview Dr, Brecksville, OH 44141",(440) 724-9764,-81.6299018,41.3100116
Crockett Academy,"3041 State Route 235 S., St Paris, OH 43072",(937) 663-5533,-83.99052549999999,40.0821091
Cross Bridge Academy,"465 Sutton Road, Cincinnati, OH 45230",(208) 557-3792,-84.4104751,39.0619055
Dalveld Christian Academy,"211 Dellfield Lane, Gahanna, OH 43230",(740) 346-8167,-82.8567637,40.0131406
Daroda Academy,"760 Center St E, Warren, OH 44481",(330) 646-1108,-80.8251469,41.30788709999999
Dartworth Academy,"6510 Dartworth Drive, Parma, OH 44129",(440) 570-0466,-81.72970529999999,41.3999515
Davis Academy,"1168 Hoover Lake Court, Westerville, OH 43081",(614) 975-4911,-82.89011649999999,40.131061
Daybreak Academy,"36710 W Royalton Rd, Grafton, OH 44044",(440) 748-3785,-82.03019859999999,41.3155545
Dei Gratia Academy,"135 Crestwood Drive, Waverly, OH 45690",(740) 947-0123,-83.0103926,39.1091007
Diamond Fine Arts & Sciences Regional Institute,"208 3rd St, Fairport Harbor, OH 44077",(440) 271-1151,-81.27659430000001,41.7554971
Diamonds in the Making,"1673 East 82nd Street, Cleveland, OH 44103",(216) 229-9038,-81.6299446,41.5108713
Divine Mercy Academy,"2311 Duncannon Ave NW, Canton, OH 44708",(330) 477-5992,-81.4377914,40.824704
Dunham Academy,"PO Box 111, Westville, OH 43083",(937) 206-1069,-83.82053719999999,40.1085664
Eagle Academy,"6146 E. Walnut Street, Westerville, OH 43081",(614) 602-7694,-82.82261629999999,40.1137628
East Tenth Academy,"815 East 10th Street, Wellston, OH 45692",(740) 710-1123,-82.5260909,39.115032
Emanuel Christian Academy,"3052 Quinby Drive, Columbus, OH 43232",(614) 352-3106,-82.8422902,39.917253
Emmanuel Baptist Church School,"495 Old State Route 122, Lebanon, OH 45036",(513) 932-5205,-84.5177542,39.6129115
Endicott Academy,"1310 Apache Trail, Wapakoneta, OH 45895",(937) 694-7603,-84.1935997,40.5851769
Excellence in Learning Community School,"PO  Box 4422, Newark, OH 43058",(740) 814-2211,-82.35,40.12
Faith Christian Academy,"4446 Gale Road, Granville, OH 43023",(614) 575-9751,-82.5764403,40.0254193
Farmstead Christian School,"1251 TR 115, Deshler, OH 43516",(419) 275-2327,-83.8991072,41.2075509
Fayette Christian School,"1315 Dayton Avenue, Washington Court House, OH 43160",(740) 335-7262,-83.4608957,39.5399583
Fearon Academy,"2859 Township Road 179, Bellefontaine, OH 43311",(937) 599-2735,-83.72883759999999,40.3315602
Firelands Christian Academy,"P.O. Box 334, Sandusky, OH 44870",(419) 684-8642,-82.71168209999999,41.4561754
Firestone Classical Academy,"644 West Steels Corners Road, Cuyahoga Falls, OH 44223",(330) 283-4503,-81.53172599999999,41.1805029
Fisherman's Peace,"11925 Kenyon Rd, Mount Vernon, OH 43050",(419) 889-7316,-82.4134277,40.4075511
Foundations Christian Academy,"854 Silliman Road, Plymouth, OH 44865",(419) 687-0980,-82.61362609999999,41.014598
Franklin Academy,"5100 Bigelow Drive, Hilliard, OH 43026",(614) 286-0726,-83.1510316,40.0225147
Franklin Furnance Christian Academy,"P.O. Box 239, Franklin Furnace, OH 45629",(740) 354-9301,-82.8479074,38.6177995
Free Mind Academy,"24065 Ambour Drive, North Olmsted, OH 44070",(440) 796-5355,-81.8873272,41.4417534
Freedom Christian Academy,"117 Ross Ave, Hamilton, OH 45011",(513) 260-9751,-84.5685556,39.4017921
Freedom Preparatory Academy,"8707 Sedona Dr, Lewis Center, OH 43035",(740) 657-3706,-82.99891509999999,40.1561104
French Creek Christian Academy,"36602 Kinzel Road, Avon, OH 44011",(440) 934-3323,-82.0261965,41.4424945
Full Life Academy,"146 Purple Finch Loop, Pataskala, OH 43062",(740) 862-0438,-82.6752412,39.9700024
Garret Academy,"2465 Addyston Road, Akron, OH 44313",(330) 714-8809,-81.60363459999999,41.1164944
GEC School,"1410 Hubbard Rd, Galloway, OH 43119",(614) 557-0524,-83.2411491,39.9764983
Gentle Shepherd School,"4564 West Ranchview Avenue, North Olmsted, OH 44070",(440) 785-1059,-81.9084187,41.4229779
Germantown Christian Schools,"9440 Eby Road, Germantown, OH 45237",(937) 855-7334,-84.3632824,39.608379
Glow Academy,"1258 Orchard Glen Dr, Amherst, OH 44001",(440) 628-2083,-82.2493535,41.4091651
"God's Teen School, Inc.","32 Buxton Ave, Springfield, OH 45505",(937) 504-7232,-83.7716713,39.9224912
Good Shepherd Christian Academy,"2101 N Michigan Street, Toledo, OH 43611",(419) 466-9798,-83.5104147,41.6733122
Good Shepherd School,"P.O. Box 169, Louisville, OH 44641",(330) 935-0623,-81.25955189999999,40.8372809
Goodview Academy,"663 Poulsen Dr, Akron, OH 44313",(330) 515-1849,-81.53556379999999,41.1186892
Gospel Haven Academy,"6871 State Route 241, Millersburg, OH 44654",(330) 674-0752,-81.8493299,40.6000834
Grace Academy,"1000 Howard St, Mount Vernon, OH 43050",(740) 485-3399,-82.46899289999999,40.3877761
Grace Academy,"10107 Saddle Bridge Drive South, Whitehouse, OH 43571",(918) 550-3126,-83.7834122,41.5210842
Grace Baptist Academy,"919 W. Thrush Ave, Crestline, OH 44827",(419) 683-2334,-82.749185,40.795114
Grace Christian Academy,"5409 Gifford Ave, Cleveland, OH 44144",(216) 739-0547,-81.72410479999999,41.4336663
Grace Christian Academy,"10001 Chillicothe Road, Kirtland, OH 44094",(440) 749-0954,-81.34511380000001,41.5994551
Grace Learning Academy,"46690 West Almar Lane, St Clairsville, OH 43950",(740) 699-0006,-80.9515722,40.0628552
Grace Prep School,"1263 Harmony Drive, Wadsworth, OH 44281",(330) 336-6550,-81.729748,41.0573829
Gratia Dei School,"2346 Secor Road, Toledo, OH 43606",(270) 929-2876,-83.6219352,41.6659444
Green Pastures Classical School,"48764 Hillcrest Drive, St Clairsville, OH 43950",(304) 280-7739,-80.90528359999999,40.1121284
Guardian Angel,"7231 Hahn Street NE, Louisville, OH 44641",(330) 418-2470,-81.2625089,40.8874266
"Guided Transitions for Supported Individuals, LLC","95 Hanna Parkway Unit D, Akron, OH 44319",(330) 203-0182,-81.5225856,41.0210708
"Hadden Institute, The","5280 Township Road 170, Cardington, OH 43224",(812) 593-0635,-83.78220499999999,40.5896878
Haggadah Academy,"237 35th Street NW, Canton, OH 44709",(234) 214-3296,-81.3692216,40.83660769999999
Hametown Christian Academy,"4774 S. Hametown Road, Norton, OH 44023",(330) 825-7891,-81.6681407,41.0051008
Hands on Learning Academy,"76 Pueblo Lane, Columbiana, OH 44408",(440) 454-2246,-80.6814338,40.8693835
Harrell Family Academy,"62010 Russell Long Run Road, Bethesda, OH 43215",(318) 581-5087,-81.1127983,39.9956518
Harrison Enrichment Academy,"4531 Emerson Road, South Euclid, OH 44121",(216) 938-9877,-81.51680379999999,41.5287276
Harvest Temple Christian Academy,"P.O. Box 263, Clyde, OH 43410",(419) 547-8251,-82.975192,41.30422009999999
Hawkeye Academy,"532 Cherrington Ct, Westerville, OH 43081",(513) 675-8984,-82.9084261,40.11237819999999
Heartland Academy,"2577 Greely Chapel Rd, Lima, OH 45804",(419) 303-4363,-84.0704009,40.7040476
Heath Academy,"7232 Saddlewood Drive, Westerville, OH 43082",(412) 564-3284,-82.90472679999999,40.16460989999999
Henry Johnson Academy for Scholars,"291 E. 222, Euclid, OH 44123",(216) 592-8521,-81.5262955,41.6066619
Heritage Baptist Academy,"77 Saxe Rd, Mogadore, OH 44260",(330) 628-9559,-81.3911753,41.0676145
Heritage Christian School,"P.O. Box 454, Little Hocking, OH 45742",(740) 667-3149,-81.69985229999999,39.2606309
Heritage Christian School,"4403 Tiedeman Road, Brooklyn, OH 44144",(216) 476-7976,-81.7574022,41.43742400000001
Heritage Christian School,"2000 Broad Avenue, Findlay, OH 45840",(419) 424-9511,-83.6650131,41.06405460000001
Heritage Christian School,"193 Marion-Williamsport Rd, Marion, OH 43302",(740) 382-6248,-83.1282504,40.6143142
Heritage Classical Academy,"7100 Pettibone Rd, Chagrin Falls, OH 44023",(330) 548-1738,-81.38796959999999,41.3634259
Heritage Oaks Academy,"67 Oak Street, Delaware, OH 43015",(419) 612-2822,-83.05457469999999,40.3010249
Heritage Private School Inc.,"9060 Yoder Road, Sterling, OH 44276",(330) 669-2900,-81.8100959,40.9096384
High Street Christian Academy,"7339 N. High Street, Columbus, OH 43235",(614) 888-5121,-83.0169391,40.1067827
Hilltop Academy,"21 Hill Street, Coalton, OH 45621",(740) 288-5671,-82.608192,39.106568
Holy Family of Nazareth,"1531 Applewood Way, Uniontown, OH 44685",(330) 206-2798,-81.47915239999999,40.9456437
Honor Academy,"1250 Richter Road, Columbus, OH 43223",(614) 622-7636,-83.03557119999999,39.9256405
Hoover Christian Academy,"9979 Hoover Woods Road, Galena, OH 43021",(614) 560-6649,-82.86494569999999,40.1845961
Hope Christian Academy,"25 S. Westmoor Ave, Apt. C, Newark, OH 43055",(740) 348-6390,-82.45687439999999,40.0446584
Hope Liberty Christian Academy,"1088 Eagle Drive, #1215, Akron, OH 44312",(440) 590-2064,-81.4864058,40.9856168
Hoy Christian Academy,"31 N. Railroad St, New London, OH 44851",(440) 935-2826,-82.3982249,41.0876476
Huber Heights Christian Academy,"7730 Taylorsville Road, Huber Heights, OH 45424",(937) 236-5883,-84.0953779,39.8594816
IDEA House Educational Service LLC,"6630 Towpath Ave, Canal Fulton, OH 44614",(330) 970-0777,-81.571764,40.87836799999999
Immaculate Conception Academy,"4510 Floral Avenue, Norwood, OH 45212",(513) 731-0154,-84.44920909999999,39.1580013
In the Light Christian School,"38058 Terrell Drive, North Ridgeville, OH 44039",(440) 309-4461,-82.04933319999999,41.3657996
Independence Christian Academy,"9734 Independence Blvd, Parma Heights, OH 44130",(440) 669-5696,-81.7538757,41.3740971
"INK Preparatory School, The","882 Sheridan Avenue, Bexley, OH 43",(614) 584-2916,-82.93981310000001,39.9505124
Intelligent Hearts,"4119 West 145th Street, Cleveland, OH 44135",(440) 941-6582,-81.7957675,41.4421949
Ironwood Preparatory School,"19 Ironclad Drive, Columbus, OH 43213",(614) 746-9210,-82.8641797,39.978123
Ivy Haven Christian Academy,"1141 Elm St, Grafton, OH 44044",(440) 926-0253,-82.05086539999999,41.2776542
Jabez Christian Academy,"17095 Heiland-Kies Road, Botkins, OH 45306",(937) 371-4343,-84.14580149999999,40.4476123
Jackson Christian Academy,"14500 Township Road 168, Findlay, OH 45840",(419) 788-8916,-83.6032859,40.9725441
JEM Academy,"12307 Butterfield Drive, Pickerington, OH 43147",(614) 833-2110,-82.77008649999999,39.9145253
JSH Academy,"711 Hunnicut Dr, Reynoldsburg, OH 43068",(614) 531-6117,-82.75702679999999,39.975548
Juniper Lyceum,"1541 E. Cooke Rd, Columbus, OH 43224",(614) 301-3430,-82.9744124,40.04526329999999
Kavod Messiante Academy,"2317 13th St NW, Canton, OH 44708",(330) 288-9494,-81.3992653,40.8118456
Kelly's Homeschool,"1823 1/2 Allison Street, East Liverpool, OH 43920",(330) 639-7655,-80.5757022,40.6339709
Kharis Christian Academy a Community of Grace,"2709 Burbank Avenue, Middletown, OH 45044",(513) 292-8456,-84.3808918,39.4958945
Kingdom Institute,"10114 Brooks Carroll Rd, Waynesville, OH 45068",(513) 897-3586,-84.004969,39.4852435
Kingdom Way Academy,"7457 Beach Road, Wadsworth, OH 44281",(330) 239-8929,-81.75447489999999,41.0711461
Kings Academy,"14997 US HWY 50, Chillicothe, OH 45601",(740) 600-1909,-82.9824019,39.3331197
King's Academy,"348 Simcox St, Wadsworth, OH 44281",(330) 819-6260,-81.738896,41.0338271
King's Classical Academy,"2414 State Route 125, Hamersville, OH 45130",(937) 379-0379,-83.97560430000001,38.907869
King's Dominion Academy,"12954 Rainrock Road, Utica, OH 43080",(614) 551-5344,-82.280288,40.2371154
Klay Academy,"2992 East State Road, Lima, OH 45807",(419) 225-8508,-84.04934779999999,40.8167497
Kokosing Valley School,"10565 Monroe Mills Rd, Gambier, OH 43022",(740) 427-2037,-82.3711665,40.382203
Koposetic Christian Academy,"1724 Veste Rd, Wakeman, OH 44889",(440) 864-3025,-82.3996114,41.25449649999999
L.A.D. School,"1500 Mozart Dr, Westlake, OH 44145",(440) 835-1015,-81.9178002,41.4646673
Lake Erie Christian Academy,"5100 Shady Ridge Lane, Brooklyn Heights, OH 44131",(216) 543-4944,-81.6716277,41.4161136
Lakeshore Academy,"32163 Teasel Ct., Avon Lake, OH 44012",(440) 752-6164,-81.99231879999999,41.4838156
Lakota Christian School,"7000 Summerhill Drive, West Chester, OH 45069",(513) 642-9100,-84.3896259,39.3450921
Lamed School of Discovery,"9475 Bellbrook Road, Waynesville, OH 45068",(513) 897-7256,-84.0772106,39.567345
Land of Green,"PO Box 295, Atwater, OH 44201",(440) 744-5647,-81.1635821,41.0238009
LaPointe Oakland Parkway,"1624 Oakland Parkway, Lima, OH 45805",(419) 304-4269,-84.1368674,40.7430829
Lauth Haus School,"7746 Newark Rd, Mount Vernon, OH 43050",(740) 507-4381,-82.4707699,40.3475948
Learn for Life Academy,"12527 Shondel Road, Rittman, OH 44270",(330) 749-3570,-81.7568467,40.9816054
Legacy Christian School,"1427 Artesian Lane, Fairborn, OH 45324",(805) 390-7700,-83.98719849999999,39.8216416
Legend Oaks Classical Academy,"3609 Legend Oaks Dr., Amelia, OH 45102",(513) 286-7063,-84.25473389999999,39.0377053
Liberty Bible Baptist School,"2025 E. Lincoln Hwy, Elida, OH 45807",(419) 641-1041,-84.1414224,40.831936
Liberty Christian Academy,"1210 Timbercrest St, Youngstown, OH 44505",(330) 707-4055,-80.6458499,41.1659176
Liberty Christian School,"801 Bellefontaine Avenue, Lima, OH 45801",(419) 229-6266,-84.093654,40.7395961
Liberty Preparatory Academy,"2031 Queens Meadow Lane, Grove City, OH 43123",(614) 226-2015,-83.0487567,39.9122151
Liberty Preparatory Academy,"900 Lockmead Court, Pataskala, OH 43062",(614) 312-2588,-82.76752599999999,40.0107963
Liberty School,"6871 Hillway Ave NW, North Canton, OH 44720",(864) 724-1384,-81.4733186,40.8802694
Licking County Christian Academy,"81 Licking View Drive, Heath, OH 43056",(740) 522-3600,-82.4413378,40.0246809
Lifelong Love of Learning,"1100 Concord Drive, Medina, OH 44256",(330) 241-5175,-81.83946999999999,41.1273223
Lifetime Achievement Christian Academy,"P.O Box 230, Granville, OH 43023",(614) 325-0063,-82.5610534,40.0488474
Lima Christian Academy,"3180 W. Elm Street, Lima, OH 45805",(419) 999-2219,-84.1625576,40.7378593
Lima Christian School,"2435 N Cole Street, Lima, OH 45805",(419) 229-4547,-84.128466,40.7721425
Lincoln Christian School,"52 Township Road 791, Nova, OH 44859",(419) 652-2413,-82.28078599999999,41.056311
Lincoln Preparatory Academy,"2655 Scott Court, Grove City, OH 43123",(419) 878-0933,-83.07298569999999,39.8918379
Little Liberal Arts Music Academy,"7946 Windrift Place, Reynoldsburg, OH 43068",(614) 434-6068,-82.7878429,39.9662119
Locust Grove School,"6531 North Urbana-Lisbon Rd, Mechanicsburg, OH 43044",(937) 828-1635,-83.6284621,40.0096059
Logos Learning Center,"12055 Marydale Drive, Chagrin Falls, OH 44023",(440) 600-3586,-81.2069125,41.4226751
Lone Oak Lifetime Learner's Academy,"53551 Lone Oak Lane, Bellaire, OH 43906",(740) 312-1552,-80.82278699999999,40.008996
Longfield Preparatory School,"15317 Chicken Bristle Rd, Farmersville, OH 45325",(937) 313-0021,-84.4685466,39.6995459
"Lord's Light School, The","7944 English Oak Trail, Macedonia, OH 44056",(330) 801-7867,-81.4847284,41.2867526
Love for Learning Academy,"4372 W. Ranchview Ave, North Olmsted, OH 44070",(440) 328-9643,-81.9081841,41.4258569
Love of Learning,"5311 Wood Trail Ave NE, Canton, OH 44705",(330) 575-5006,-81.3392968,40.8570115
Loveland Baptist School,"2288 Lilac Rd, Loveland, OH 45140",(513) 683-6213,-84.2628654,39.3068555
Lux Mundi Academy,"3267 Deer Creek Trail, Richfield, OH 44286",(330) 697-7103,-81.64205820000001,41.266658
"Lyceum, The","P.O. Box  21466, South Euclid, OH 44121",(216) 297-9448,-81.5322149,41.5233346
Madeira Baptist School,"7860 Euclid Avenue, Cincinnati, OH 45243",(513) 561-9566,-84.356212,39.1921653
"Main Street Schoolhouse, Inc","200 North F Street, Hamilton, OH 45013",(513) 868-0999,-84.5701089,39.4093923
Malachi's Children Christian School,"8558 Holiday Hills Drive, Cincinnati, OH 45255",(513) 835-5719,-84.3158053,39.085325
Mangeri Academy,"8343 Center St, Garrettsville, OH 44231",(443) 624-4329,-81.0894782,41.2883046
Manthano Academy,"P. O. Box 443, Lima, OH 45801",(419) 905-5075,-84.0801613,40.786903
"Marcum Academy, The","2245 Flickinger Hill Rd, Wooster, OH 44691",(330) 749-5987,-81.9796878,40.83658190000001
Margaret T. Academy,"6105 Orchard Hill Blvd, Lorain, OH 44053",(440) 240-8186,-82.1747936,41.4165766
Marietta Christian School,"4070 State Route 60, Marietta, OH 45750",(740) 373-5551,-81.462678,39.458433
Mars Hill Academy,"4230 Aero Drive, Mason, OH 45040",(513) 770-3223,-84.2904956,39.341577
Martin Academy,"861 Edgar Lane, Brunswick, OH 44212",(216) 374-6706,-81.7943793,41.2524173
Mary Seat of Wisdom Montessori,"36 Villa Dr, Steubenville, OH 43952",(740) 282-3802,-80.66152,40.3512224
Maxwell Academy,"881 Admore Dr, Kent, OH 44240",(330) 673-0720,-81.38069,41.1602258
Memorial Christian,"717 N Hall St, Ottawa, OH 45875",(419) 615-1049,-84.0389424,41.0259544
Mighty Grace Private Academy,"418 Eastern Avenue, Woodsfield, OH 43793",(740) 213-0399,-81.10691500000001,39.7607391
Mighty Oaks Academy,"8029 Fairview Road, Mount Vernon, OH 43050",(720) 394-0396,-82.5796508,40.3568833
Milford Christian Academy,"1365 Woodville Pike, Milford, OH 45150",(513) 575-1708,-84.2105053,39.2007916
Millennial Reign Academy,"36 Sprague Road, Berea, OH 44017",(440) 403-9279,-81.8591229,41.3509208
