Competition,District Name,District IRN,Building Name,Building IRN,Building Adress,School Type,long,lat
,Jefferson Township Local,048686,Blairwood Elementary School,002824,"1241 Blairwood Ave Dayton, OH   45418-2023",K-6,-84.27351999999999,39.728167
,Blanchester Local,046383,Blanchester Middle School,002832,"955 Cherry St Blanchester, OH   45107-7907",6-8,-83.96756359999999,39.299119
,Blanchester Local,046383,Blanchester High School,002840,"953 Cherry St Blanchester, OH   45107-7907",9-12,-83.96971339999999,39.2990687
,Bloom-Carroll Local,046862,Bloom Elementary School,002857,"PO Box 208 Lithopolis, OH   43136-0208",K-5,-82.8110962,39.8063065
,Bloom-Vernon Local,049593,South Webster Jr/Sr High School,002873,"PO Box 100 South Webster, OH   45682-0100",7-12,-82.7268333,38.8134097
,Bloom-Carroll Local,046862,Carroll Elementary School,002907,"69 S Beaver Street Carroll, OH   43112-9661",K-5,-82.7003153,39.7962256
,Edgewood City,046094,Bloomfield Elementary School,002923,"300 N Miami St Trenton, OH   45067-1226","K-5,P",-84.45693279999999,39.4852368
,Bloomfield-Mespo Local,050096,Bloomfield High School,002956,"2077 Park West Rd North Bloomfield, OH   44450-9702",6-12,-80.8714195,41.4639718
,Miami Trace Local,046920,Miami Trace Middle School,002964,"103 Main St Bloomingburg, OH   43106-9796",6-8,-83.3985931,39.6100814
,Liberty Local,050195,E J Blott Elementary School,002980,"4115 Shady Rd Youngstown, OH   44505-1352",K-4,-80.6566526,41.1573084
,Sycamore Community City,044867,Blue Ash Elementary,002998,"9541 Plainfield Rd Cincinnati, OH   45236-1007",K-4,-84.3985522,39.2319155
,Bluffton Exempted Village,045211,Bluffton Elementary School,003020,"102 S Jackson St Bluffton, OH   45817-1218",K-5,-83.8929345,40.8945821
,Bluffton Exempted Village,045211,Bluffton High School,003038,"106 W College Ave Bluffton, OH   45817-1203",9-12,-83.8938452,40.892978
,Wapakoneta City,044982,Wapakoneta Middle School,003046,"400 W Harrison St Wapakoneta, OH   45895-1454",5-7,-84.2013633,40.5732802
,Boardman Local,048306,Glenwood Middle School,003053,"7635 Glenwood Ave Youngstown, OH   44512-5822",5-8,-80.6694514,41.0135957
,Boardman Local,048306,Boardman High School,003061,"7777 Glenwood Ave Youngstown, OH   44512-5824",9-12,-80.6693027,41.0112451
,Cuyahoga Falls City,043836,Bolich Middle School,003103,"2630 13th St Cuyahoga Falls, OH   44223-2202",6-8,-81.5002318,41.14539449999999
,Tuscarawas Valley Local,050302,Tuscarawas Valley Intermediate,003129,"nan  , OH   44612-0196","2-4,SN",-81.46085599999999,40.6528484
,Cleveland Municipal,043786,Bolton,003137,"9803 Quebec Ave Cleveland, OH   44106-3519","P,K-8",-81.619056,41.494656
,Cincinnati City,043752,Bond Hill Academy Elementary School,003152,"1510 California Ave Cincinnati, OH   45237-5621","P,K-8",-84.4714061,39.17709010000001
,Niles City,044495,Bonham Elementary School,003160,"120 E Margaret Ave Niles, OH   44446-1920",K-5,-80.7656294,41.1926999
,Woodridge Local,049973,Woodridge Middle School,003202,"4451 Quick Rd Peninsula, OH   44264-9706","6-8,UNG",-81.5094937,41.1943054
,Botkins Local,049767,Botkins Elementary School,003210,"PO Box 550 Botkins, OH   45306-0550",K-6,-84.18050219999999,40.467826
,Botkins Local,049767,Botkins High School,003228,"PO Box 550 Botkins, OH   45306-0550",7-12,-84.18050219999999,40.467826
,Shaker Heights City,044750,Boulevard Elementary School,003244,"14900 Drexmore Rd Shaker Heights, OH   44120-2478",K-4,-81.57777,41.481176
,Cleveland Heights-University Heights City,043794,Boulevard Elementary School,003251,"1749 Lee Rd Cleveland Heights, OH   44118-1705",K-5,-81.5662316,41.5122727
,Massillon City,044354,Bowers Elementary School,003269,"1041 32nd St NW Massillon, OH   44647-5217",K-4,-81.57275299999999,40.7997508
,Conotton Valley Union Local,047548,Bowerston Elementary School,003277,"600 Main St Bowerston, OH   44695-9710",K-6,-81.1830609,40.4231665
,Bowling Green City,043638,Bowling Green High School,003285,"530 W Poe Rd Bowling Green, OH   43402-1213",9-12,-83.6572849,41.3874566
,Bowling Green City,043638,Bowling Green Junior High School,003293,"1079 Fairview Ave Bowling Green, OH   43402-1234",7-8,-83.6577274,41.3885291
,Toledo City,044909,Bowsher High School,003301,"2200 Arlington Avenue Toledo, OH   43614-4441",9-12,-83.60942949999999,41.6029965
,Wooster City,045120,Boys Village,003327,"PO Box 518 Smithville, OH   44677-0518",6-12,-81.8618049,40.862278
,LaBrae Local,050245,LaBrae Intermediate School,003335,"1001 N Leavitt Rd Leavittsburg, OH   44430-9644",3-5,-80.8760018,41.2537264
,Bradford Exempted Village,045229,Bradford Central Elementary School,003368,"740 Railroad Ave Bradford, OH   45308-8605",K-5,-84.4320405,40.1415738
,Bradford Exempted Village,045229,Bradford High School,003376,"750 Railroad Ave Bradford, OH   45308-8605",6-12,-84.432041,40.1416113
,Orange City,046581,Ballard Brady Middle School,003400,"32000 Chagrin Blvd Pepper Pike, OH   44124-5922",6-8,-81.4508099,41.456309
,West Clermont Local,046359,Brantner Lane Elementary School,003434,"609 Brantner Ln Cincinnati, OH   45244-1505",K-5,-84.2936204,39.0909514
,Mad River Local,048702,Brantwood Elementary School,003442,"4350 Schwinn Dr Dayton, OH   45404-1341",K-4,-84.1407914,39.8110259
,Brecksville-Broadview Heights City,043646,Brecksville-Broadview Heights High School,003467,"6380 Mill Rd Broadview Heights, OH   44147-2260",9-12,-81.6441309,41.3261893
,Brecksville-Broadview Heights City,043646,Brecksville-Broadview Heights Middle School,003475,"6376 Mill Rd Broadview Heights, OH   44147-2260","P,6-8",-81.642606,41.32937380000001
,Mentor Exempted Village,045492,Brentmoor Elementary School,003509,"7671 Johnnycake Ridge Rd Mentor, OH   44060-5531",K-5,-81.36743659999999,41.6506724
,Defiance City,043869,Brickell Elementary School,003541,"601 E 2nd St Defiance, OH   43512-2321",K-4,-84.35054889999999,41.2823611
,Bridgeport Exempted Village,045237,The Bridgeport School District - High School,003558,"55707 Industrial Dr Bridgeport, OH   43912-1516",9-12,-80.7773807,40.0691947
,Oak Hills Local,047373,Bridgetown Middle School,003566,"3900 Race Rd Cincinnati, OH   45211-4300",6-8,-84.62837250000001,39.1603573
,Buckeye Local,047787,Buckeye North Elementary School,003590,"1004 3rd St Brilliant, OH   43913-1058","K-5,P",-80.6327783,40.262007
,Buckeye Local,047787,Buckeye North Middle School,003608,"1004 3rd St Brilliant, OH   43913-1058",6-8,-80.6327783,40.262007
,Field Local,049197,Brimfield Elementary School,003616,"4170 State Route 43 Kent, OH   44240-6916",1-5,-81.34396079999999,41.1035798
,Mansfield City,044297,Brinkerhoff Elementary School,003624,"240 Euclid Ave Mansfield, OH   44903-1816",4-6,-82.5409487,40.75225289999999
,Bristol Local,050112,Bristol Elementary School,003632,"PO Box 260 Bristolville, OH   44402-0260",K-6,-80.86912730000002,41.3873741
,Bristol Local,050112,Bristol High School,003640,"PO Box 260 Bristolville, OH   44402-0260",7-12,-80.86912730000002,41.3873741
,Hilliard City,047019,Britton Elementary School,003657,"4501 Britton Rd Hilliard, OH   43026-9446",K-5,-83.1356644,40.0521715
,Columbus City,043802,Broadleigh Elementary School,003665,"3039 Maryland Ave Columbus, OH   43209-1538","K-5,P",-82.92005879999999,39.9755468
,Tipp City Exempted Village,045617,Broadway Elementary School,003707,"223 W Broadway St Tipp City, OH   45371-1639",K-3,-84.17496919999999,39.959432
,Brookfield Local,050120,Brookfield High School,003749,"PO Box 209 Brookfield, OH   44403-0209",9-12,-80.5771737,41.2449469
,Brookfield Local,050120,Brookfield Middle School,003756,"PO Box 209 Brookfield, OH   44403-0209",4-8,-80.5771737,41.2449469
,Columbus City,043802,Brookhaven High School,003764,"4077 Karl Rd Columbus, OH   43224-2137",9-12,-82.9812363,40.0506406
,Cleveland Municipal,043786,Brooklawn,003772,"11801 Worthington Ave Cleveland, OH   44111-5064",K-8,-81.769706,41.4480542
,Brooklyn City,043653,Brooklyn High School,003780,"9200 Biddulph Rd Brooklyn, OH   44144-2614",9-12,-81.74973229999999,41.4307561
,Berea City,043612,Brookpark Memorial Elementary School,003806,"16900 Holland Rd Brook Park, OH   44142-3522",K-5,-81.8177324,41.3959884
,Brooklyn City,043653,Brookridge Elementary School,003814,"4500 Ridge Rd Brooklyn, OH   44144-3351",3-5,-81.7378196,41.4337445
,Worthington City,045138,Brookside Elementary School,003822,"6700 Mcvey Blvd Columbus, OH   43235-2820",K-6,-83.05778339999999,40.1014829
,Sheffield-Sheffield Lake City,044768,Brookside High School,003830,"1812 Harris Rd Sheffield Village, OH   44054-2628",9-12,-82.0960307,41.4671808
,Berea City,043612,Brookview Elementary School,003848,"14105 Snow Rd Brook Park, OH   44142-2557",K-5,-81.79265029999999,41.4044642
,Brookville Local,048678,Brookville High School,003863,"1 Blue Pride Drive Brookville, OH   45309",9-12,-84.420385,39.8282423
,Hilliard City,047019,Brown Elementary School,003897,"2494 Walker Rd Hilliard, OH   43026-8309",K-5,-83.2013199,40.0006729
,Ravenna City,044685,Brown Middle School,003905,"228 S Scranton St Ravenna, OH   44266-2642",6-8,-81.2638602,41.157705
,Eaton Community City,043935,William Bruce Elementary School,003954,"201 E Saint Clair St Eaton, OH   45320-2422",3-5,-84.6336874,39.7394462
,Brunswick City,043661,Brunswick High School,003970,"3581 Center Rd Brunswick, OH   44212-3617",9-12,-81.816942,41.2420617
,Midview Local,048173,Midview North Elementary School,003988,"13070 Durkee Rd Grafton, OH   44044-1122",K-4,-82.05722960000001,41.3005251
,South Euclid-Lyndhurst City,044792,Brush High School,003996,"4875 Glenlyn Rd Lyndhurst, OH   44124-2312",9-12,-81.5069211,41.5218505
,Bryan City,043679,Bryan Middle School,004002,"1301 Center St Bryan, OH   43506-9125",4-8,-84.5705318,41.4594272
,Bryan City,043679,Bryan High School,004028,"150 S Portland St Bryan, OH   43506-1686",9-12,-84.5566972,41.4731937
,Hamilton City,044107,Buchanan Elementary School,004069,"263 Hancock Ave Hamilton, OH   45011-4445",K-6,-84.5460861,39.3903571
,Akron City,043489,Buchtel High School,004077,"1040 Copley Rd Akron, OH   44320-2853",9-12,-81.5596836,41.0856861
,Buckeye Central Local,046508,Buckeye Central High School,004085,"306 S Kibler St New Washington, OH   44854-9771",7-12,-82.8529142,40.9602316
,Buckeye Central Local,046508,Buckeye East Elementary School,004093,"PO Box 98 Tiro, OH   44887-0098",K-6,-82.9909543,40.7489279
,Riverside Local,047894,Buckeye Elementary School,004101,"175 Buckeye Rd Painesville, OH   44077-1949",K-5,-81.26288749999999,41.7007891
,Buckeye Local,048470,Buckeye High School,004127,"3084 Columbia Rd Medina, OH   44256-9411","9-12,SN",-81.92713789999999,41.1899435
,Columbus City,043802,Buckeye Middle School,004135,"2950 Parsons Ave Columbus, OH   43207-3742",6-8,-82.9849737,39.9027214
,Buckeye Valley Local,046755,Buckeye Valley Local High School,004143,"901 Coover Rd Delaware, OH   43015-9564",9-12,-83.0919993,40.3493633
,Buckeye Central Local,046508,Buckeye West Elementary School,004150,"PO Box 187 Chatfield, OH   44825-0187",K-6,-82.9427615,40.95262520000001
,Greenfield Exempted Village,045401,Buckskin Elementary School,004176,"PO Box 69 South Salem, OH   45681-0069","K-5,P",-83.30657959999999,39.33617539999999
,Bucyrus City,043687,Bucyrus High School,004184,"900 W Perry St Bucyrus, OH   44820-1761",9-12,-82.98833189999999,40.8128114
,Loudonville-Perrysville Exempted Village,045468,Budd Elementary School,004192,"210 E Main St Loudonville, OH   44842-1245",4-6,-82.2314614,40.6351216
,Steubenville City,044826,West Pugliese Elementary,004200,"3800 Schenley Ave Steubenville, OH   43952-1053","K,1-5,SN",-80.667917,40.379557
,Rolling Hills Local,047308,Brook Elementary School,004218,"58601 Marietta Rd Byesville, OH   43723-9705",K-5,-81.5587,39.9494179
,Cleveland Municipal,043786,Buhrer,004234,"1600 Buhrer Ave Cleveland, OH   44109-1747","P,K-8",-81.6946085,41.46822179999999
,Ashtabula Area City,043513,Mckinsey Elementary School,004242,"1113 Bunker Hill Rd Ashtabula, OH   44004-7610",K-6,-80.796723,41.8504239
,Youngstown City Schools,045161,Paul C Bunn Elementary School,004267,"1825 Sequoya Dr Youngstown, OH   44514-1274",K-6,-80.623403,41.047691
,North Central Local,050567,Burbank Elementary School,004275,"125 South St Burbank, OH   44214",K-4,-81.9933889,40.986389
,South Point Local,047951,Burlington Elementary School,004317,"PO Box 310 South Point, OH   45680-0310",K-5,-82.58626989999999,38.4178597
,Wauseon Exempted Village,045641,Burr Road Middle School,004333,"717 Burr Rd Wauseon, OH   43567-1605",6-8,-84.137371,41.538914
,Columbus City,043802,Burroughs@Clarfield Elementary School,004341,"551 S Richardson Aven Columbus, OH   43204","K-5,P",-83.06776099999999,39.9438892
,Toledo City,044909,Burroughs Elementary School,004358,"2420 South Ave Toledo, OH   43609-1611",K-6,-83.6019967,41.6314088
,Berkshire Local,047167,Burton Elementary School,004366,"PO Box 406 Burton, OH   44021-0406","K-6,P",-81.1450995,41.47060889999999
,Clear Fork Valley Local,049411,Butler Elementary School,004390,"125 College St Butler, OH   44822-9675",K-5,-82.43083990000001,40.5916198
,Arcanum-Butler Local,046631,Butler Middle School,004408,"1481 State Route 127 Arcanum, OH   45304-8203",6-8,-84.6309483,39.9594638
,Vandalia-Butler City,044958,Butler High School,004416,"600 S Dixie Dr Vandalia, OH   45377-2550",9-12,-84.19708,39.8852329
,North Olmsted City,044529,Butternut Elementary School,004424,"26669 Butternut Ridge Rd North Olmsted, OH   44070-4406",K-3,-81.9180987,41.4083835
,Rolling Hills Local,047308,Byesville Elementary School,004432,"212 Main St Byesville, OH   43723-1339",K-5,-81.5354296,39.9706218
,Shaker Heights City,044750,Shaker Hts Middle School,004457,"20600 Shaker Blvd Shaker Heights, OH   44122-2620",7-8,-81.5334151,41.4773421
,Oak Hills Local,047373,C O Harrison Elementary School,004473,"585 Neeb Rd Cincinnati, OH   45233-4610",K-5,-84.63880879999999,39.103303
,Brunswick City,043661,C R Towslee Elementary School,004481,"3555 Center Rd Brunswick, OH   44212-3617",K-5,-81.8134694,41.2393174
,Harrison Hills City,045245,Harrison Central High School,004507,"440 E Market St Cadiz, OH   43907-1244",9-12,-80.9923737,40.2688408
,Gallia County Local,065680,Southwestern Elementary School,004515,"4834 State Route 325 Patriot, OH   45658-8960",K-8,-82.40120019999999,38.823438
,Beaver Local,046425,Calcutta Elementary School,004549,"15482 State Route 170 East Liverpool, OH   43920-9602",K-4,-80.57478739999999,40.6750619
,Caldwell Exempted Village,045252,Caldwell High School,004556,"516 Fairground St Caldwell, OH   43724-1175",9-12,-81.51772559999999,39.7510268
,Caldwell Exempted Village,045252,Caldwell Elementary School,004564,"44350 Fairgrounds Rd Caldwell, OH   43724-9561",K-8,-81.5245848,39.7401764
,River Valley Local,048447,Liberty Elementary School,004580,"1932 Whetstone River Rd N Caledonia, OH   43314-9720",K-5,-82.96518999999999,40.62642
,East Cleveland City School District,043901,Caledonia Elementary School,004598,"1843 Stanwood Rd East Cleveland, OH   44112-2901",K-6,-81.57358839999999,41.5350493
,Cambridge City,043695,Cambridge Middle School,004614,"1400 Deerpath Dr Cambridge, OH   43725-9098",6-8,-81.58273419999999,40.0516173
,Cambridge City,043695,Cambridge High School,004622,"1401 Deerpath Dr Cambridge, OH   43725-9097",9-12,-81.583805,40.0532467
,Preble Shawnee Local,049288,Camden Elementary School,004630,"120 Bloomfield St Camden, OH   45311-1154",K-3,-84.64913849999999,39.6315777
,Canfield Local,048314,C H Campbell Elementary School,004697,"300 Moreland Dr Canfield, OH   44406-1028",K-4,-80.77347499999999,41.0344407
,Ironton City,044149,Ironton Middle School,004713,"302 Delaware St Ironton, OH   45638-1010",6-8,-82.70661989999999,38.5531748
,Streetsboro City,049239,Campus Intermediate Elementary School,004739,"8955 Kirby Ln Streetsboro, OH   44241-1724",2-3,-81.3221934,41.2342713
,Jonathan Alder Local,048264,Jonathan Alder Junior High,004747,"6440 Kilbury Huber Rd Plain City, OH   43064-9573",7-8,-83.291861,40.0675899
,Northwest Local,049908,W. S. Stinson Elementary School,004754,"8454 Erie Ave N Canal Fulton, OH   44614-8859",3-4,-81.612867,40.90722179999999
,Canal Winchester Local,046946,Canal Winchester High School,004770,"300 Washington St Canal Winchester, OH   43110-1228",9-12,-82.8124708,39.8365653
,Canfield Local,048314,Canfield High School,004796,"100 Cardinal Dr Canfield, OH   44406-1111",9-12,-80.774497,41.028158
,Cleveland Heights-University Heights City,043794,Canterbury Elementary School,004804,"2530 Canterbury Rd Cleveland Heights, OH   44118-4333",K-5,-81.5498544,41.4916782
,Canton Local,049833,Canton South High School,004812,"600 Faircrest St SE Canton, OH   44707-1344",9-12,-81.37190629999999,40.7484767
,Cleveland Municipal,043786,Captain Arthur Roth,004820,"12523 Woodside Ave Cleveland, OH   44108-2422","P,K-8",-81.5960546,41.5364857
,East Palestine City,043927,East Palestine Elementary School,004838,"195 W Grant St East Palestine, OH   44413-1605","H,P,K,1-5",-80.54341099999999,40.8387222
,Cardinal Local,047175,Cardinal Middle School,004846,"PO Box 879 Middlefield, OH   44062-0879",6-8,-81.0737079,41.4619986
,Cardinal Local,047175,Cardinal High School,004853,"PO Box 7 Middlefield, OH   44062-0007",9-12,-80.7400266,40.0762156
,Cardington-Lincoln Local,048793,Cardington-Lincoln High School,004861,"349 Chesterville Ave Cardington, OH   43315-9217",9-12,-82.8820637,40.4947631
,Cardington-Lincoln Local,048793,Cardington-Lincoln Elementary School,004879,"121 Nichols St Cardington, OH   43315-1121",K-3,-82.8926183,40.4958487
,Carey Exempted Village,045260,Carey High School,004887,"357 E South St Carey, OH   43316-1273",7-12,-83.3764557,40.9499703
,Cleveland Municipal,043786,Carl F Shuler,004895,"13501 Terminal Ave Cleveland, OH   44135-1650",9-12,-81.78502399999999,41.4388058
,Carlisle Local,050419,Carlisle High School,004911,"250 Jamaica Rd Carlisle, OH   45005-3106",9-12,-84.3224733,39.58801830000001
,Carlisle Local,050419,Bobby F. Grigsby Intermediate School,004937,"100 Jamaica Rd Carlisle, OH   45005-3110",3-5,-84.3230509,39.5908546
,Dayton City,043844,Louise Troy PreK-8 School,004952,"1630 Miami Chapel Rd Dayton, OH   45408-2528","P,K-8",-84.2251524,39.7369668
,Benton Carroll Salem Local,048926,Carroll Elementary School,004986,"3536 N State Route 19 Oak Harbor, OH   43449-8828",K-5,-83.1450826,41.5675762
,Bloom-Carroll Local,046862,Bloom-Carroll High School,004994,"5240 Plum Road NW Carroll, OH   43112-9661",9-12,-82.6990071,39.794706
,Carrollton Exempted Village,045278,Carrollton Elementary School,005009,"252 3rd St NE Carrollton, OH   44615-1236",K-5,-81.08227819999999,40.5728505
,Carrollton Exempted Village,045278,Carrollton High School,005017,"252 3rd St NE Carrollton, OH   44615-1236",9-12,-81.08227819999999,40.5728505
,Cincinnati City,043752,Dater Montessori Elementary School,005025,"1700 Grand Ave Cincinnati, OH   45214","K-6,P",-84.55939889999999,39.1162194
,Bedford City,043562,Carylwood Intermediate School,005041,"1387 Caryl Dr Bedford, OH   44146-4528",4-6,-81.516911,41.3754096
,Cleveland Municipal,043786,Case,005066,"4050 Superior Ave Cleveland, OH   44103-1128","P,K-8",-81.6614361,41.5138601
,Akron City,043489,Case Elementary School,005074,"1393 Westvale Ave Akron, OH   44313-6565",K-5,-81.5648271,41.1148999
,Bexley City,043620,Cassingham Elementary School,005082,"250 S Cassingham Rd Bexley, OH   43209-1899",K-6,-82.9301311,39.9647438
,Canton City,043711,Cedar Elementary School,005124,"2823 9th St SW Canton, OH   44710-1917",K-6,-81.4066951,40.7945293
,Lancaster City,044206,Cedar Heights Elementary School,005132,"1515 Cedar Hill Rd Lancaster, OH   43130-3582",K-5,-82.6242861,39.7148983
,Painesville City Local,044628,Chestnut Elementary School,005157,"341 Chestnut St Painesville, OH   44077-2750",K-5,-81.25543359999999,41.7046271
,Cedar Cliff Local,047258,Cedarville Elementary School,005165,"248 N. Main St Cedarville, OH   45314-0045",K-6,-83.8082256,39.7478535
,Cedar Cliff Local,047258,Cedarville High School,005173,"PO Box 45 Cedarville, OH   45314-0045",7-12,-83.80853719999999,39.74422680000001
,Columbus City,043802,Cedarwood Alternative Elementary School,005181,"775 Bartfield Dr Columbus, OH   43207-4153","K-5,P",-82.9793047,39.8843805
,Celina City,043729,Celina Middle School,005199,"615 Holly St Celina, OH   45822-1352",7-8,-84.5613637,40.5559393
,Celina City,043729,Celina High School,005207,"715 E Wayne St Celina, OH   45822-1332",9-12,-84.56625869999999,40.5528844
,Newton Falls Exempted Village,045567,Newton Falls Middle School,005256,"905 Milton Blvd Newton Falls, OH   44444-9707",3-6,-80.95978819999999,41.1770681
,Perry Local,047902,Perry Elementary School,005264,"1 Learning Ln Perry, OH   44081-9422",K-4,-81.13628829999999,41.7734623
,Centerburg Local,047829,Centerburg Elementary School,005280,"207 S Preston St Centerburg, OH   43011-9755",K-5,-82.6965192,40.2995685
,Centerburg Local,047829,Centerburg High School,005298,"3782 Columbus Rd Centerburg, OH   43011-9475",9-12,-82.705479,40.294354
,Centerville City,043737,Centerville High School,005322,"500 E Franklin St Centerville, OH   45459-5714",9-12,-84.1482953,39.6269909
,Sylvania City,044875,Central Elementary School,005330,"7460 W Central Ave Toledo, OH   43617-1123",K-5,-83.72207209999999,41.6744267
,London City,044255,London MIddle School,005348,"60 S Walnut St London, OH   43140-1246",6-8,-83.4452632,39.8871993
,Westerville City,045047,Central College Elementary School,005355,"825 S Sunbury Rd Westerville, OH   43081-9553",1-5,-82.8891778,40.1029212
,Mason City,050450,Mason Middle School,005363,"6370 S Mason Montgomery Rd Mason, OH   45040-1728",7-8,-84.3085088,39.3459311
,New Philadelphia City,044487,Central Elementary School,005371,"145 Ray Ave NW New Philadelphia, OH   44663-2629",K-5,-81.446308,40.4934952
,Napoleon Area City,044438,Central Elementary School,005397,"315 W Main St Napoleon, OH   43545-1754",4-5,-84.1239789,41.3902137
,Middletown City,044404,Central Academy Nongraded Elementary School,005405,"4601 Sophie Ave Middletown, OH   45042-3885",K-6,-84.34772269999999,39.5160561
,Willard City,045096,Central Elementary School,005439,"206 W Pearl St Willard, OH   44890-1323","K-4,P",-82.729235,41.0564205
,Wellston City,045021,Wellston Middle School,005447,"227 Golden Rocket Drive Wellston, OH   45692-9305",6-8,-82.5358893,39.13595300000001
,Fairfield City,046102,Fairfield Central Elementary School,005462,"5058 Dixie Hwy Fairfield, OH   45014-2934",1-4,-84.5339049,39.3415274
,Lexington Local,049437,Central Elementary School,005496,"124 Frederick St Lexington, OH   44904-1240",K-4,-82.5851237,40.6756116
,Kent City,044164,Davey Elementary School,005504,"196 N Prospect St Kent, OH   44240-2281","K-5,P",-81.3670015,41.1576828
,Sidney City,044784,Central Elementary School,005538,"102 N Miami Ave Sidney, OH   45365-2741",1-3,-84.1530231,40.28599
,Shelby City,044776,Central Intermediate School,005546,"25 High School Ave Shelby, OH   44875-1576",4-6,-82.65885109999999,40.8800161
,Bedford City,043562,Central Primary School,005561,"799 Washington St Bedford, OH   44146-3658",K-3,-81.5310987,41.3902619
,Cleveland Municipal,043786,Carl & Louis Stokes Central Academy,005637,"2225 E 40th St Cleveland, OH   44103-4409","P,K-8",-81.6558603,41.4978723
,Lima City,044222,Lima North Middle School,005660,"1135 N West St Lima, OH   45801-3655",5-8,-84.10937100000001,40.7579544
,Xenia Community City,045153,Central Middle School,005678,"425 Edison Blvd Xenia, OH   45385-2253",6-8,-83.92653059999999,39.6904058
,Findlay City,043984,Central Middle School,005686,"200 W Main Cross St Findlay, OH   45840-3313",6-8,-83.6522985,41.0395869
,Wadsworth City,044974,Wadsworth Middle School,005710,"150 Silvercreek Rd Wadsworth, OH   44281-9002",7-8,-81.707363,41.0226508
,Reading Community City,044693,Central Community Elementary School,005728,"1301 Bonnell St Reading, OH   45215-3322",K-6,-84.44216159999999,39.2274267
,Zane Trace Local,049544,Zane Trace Elementary School,005736,"946 State Route 180 Chillicothe, OH   45601-8141",K-4,-82.93755139999999,39.4277482
,Chagrin Falls Exempted Village,045286,Chagrin Falls High School,005751,"400 E Washington St Chagrin Falls, OH   44022-2924",9-12,-81.38148450000001,41.4282494
,Chagrin Falls Exempted Village,045286,Chagrin Falls Middle School,005769,"342 E Washington St Chagrin Falls, OH   44022-2994",7-8,-81.3799013,41.4267085
,Southington Local,050237,Chalker High School,005777,"4432 State Route 305 Southington, OH   44470-9721",9-12,-80.959628,41.309637
,Twinsburg City,050070,R B Chamberlin Middle School,005785,"10270 Ravenna Rd Twinsburg, OH   44087-1723",7-8,-81.4558919,41.3211103
,East Cleveland City School District,043901,Chambers Elementary School,005793,"14121 Shaw Ave East Cleveland, OH   44112-2522",K-6,-81.583353,41.540495
,Champion Local,050138,Champion Central Elementary School,005801,"5759 Mahoning Ave NW Warren, OH   44483-1139",K-4,-80.85070929999999,41.310171
,Champion Local,050138,Champion High School,005819,"5976 Mahoning Ave NW Warren, OH   44483-1144",9-12,-80.8495417,41.316181
,Columbus City,043802,Champion Middle School,005827,"284 N 22nd St Columbus, OH   43203-1597",6-8,-82.9703945,39.971726
,Champion Local,050138,Champion Middle School,005835,"5435 Kuszmaul Ave NW Warren, OH   44483-1262",5-8,-80.8649346,41.3038803
,Youngstown City Schools,045161,Chaney High School,005850,"731 S Hazelwood Ave Youngstown, OH   44509-2233",9-12,-80.69571359999999,41.0923417
,Gahanna-Jefferson City,046961,Chapelfield Elementary School,005868,"280 Chapelfield Rd Gahanna, OH   43230-2537",K-5,-82.8868693,40.02679
,Chardon Local,047183,Chardon High School,005876,"151 Chardon Ave Chardon, OH   44024-1097",9-12,-81.20036139999999,41.59111499999999
,Chardon Local,047183,Chardon Middle School,005884,"424 North St Chardon, OH   44024-1036",6-8,-81.2044572,41.5905546
,Cleveland Municipal,043786,Charles A Mooney School,005892,"3213 Montclair Ave Cleveland, OH   44109-4121",K-8,-81.7058156,41.4353286
,Cleveland Municipal,043786,Charles Dickens School,005900,"3552 E 131st St Cleveland, OH   44120-4564",K-8,-81.5916396,41.4621378
,Cleveland Municipal,043786,Charles H Lake,005918,"815 Linn Dr Cleveland, OH   44108-2754","P,K-8",-81.608605,41.535715
,Plain Local,049932,Charles L Warstler Elementary School,005926,"2500 Schneider St NE Canton, OH   44721-3366",1-5,-81.3375152,40.86553199999999
,Cleveland Municipal,043786,Charles W Eliot  School,005942,"15700 Lotus Dr Cleveland, OH   44128-2427","P,K-8",-81.57065380000002,41.44565540000001
,Oak Hills Local,047373,Charles W Springmyer Elementary School,005967,"4179 Ebenezer Rd Cincinnati, OH   45248-1505",K-5,-84.65366929999999,39.1686966
,Toledo City,044909,Chase Elementary School,006007,"nan  ,",K-6,,
,Cincinnati City,043752,Chase Elementary School,006015,"1710 Bruce Ave Cincinnati, OH   45223-2004","P,K-8",-84.5460119,39.1680032
,Athens City,043521,Chauncey Elementary School,006031,"PO Box 225 Chauncey, OH   45719-0225",K-6,-82.12375829999999,39.4019776
,Westerville City,045047,Cherrington Elementary School,006049,"522 Cherrington Rd Westerville, OH   43081-3013",K-5,-82.9080458,40.1143036
,Toledo City,044909,Rosa Parks Elementary School,006056,"3350 Cherry St Toledo, OH   43608-1051",K-5,-83.5519073,41.6832339
,Washington Court House City,045013,Cherry Hill Elementary School,006064,"720 W Oakland Ave Washington Court Hou, OH   43160-1060",1-5,-83.4500719,39.5355488
,Swanton Local,047092,Swanton Middle School,006072,"206 Cherry St Swanton, OH   43558-1226",6-8,-83.8947144,41.5909041
,Newark City,044453,Cherry Valley Elementary School,006080,"1040 W Main St Newark, OH   43055-2556",K-5,-82.4403219,40.05011349999999
,Chesapeake Union Exempted Village,045294,Chesapeake High School,006098,"10181 County Road 1 Chesapeake, OH   45619-7032",9-12,-82.4840748,38.4231859
